,full_text
0,catecoin moon
1,
2,poison rikki rockett sides neil young joe rogan covid misinformation fight ht
3,first want get datum hold year hide
4,omicron meet portugal one world vaccinate nation portugal vaccinate total population
5,people really think talk total death death covid incapable understand context
6,worth note
7,canada guy really surprise time good way possiblethe entire world watch
8,break spotify fucking pussy begin cave unthinking regimeled mob
9,incredibly still people try claim japan crush covid ivermectin encourage other n
10,white house say million we household already order athome covid test federal governmen
11,you re mad joe rogan dangerous misinformation cost life you ve take eye pr
12,enough
13,past two day people die nsw business struggle even close
14,watch canadas federal transport minister omar alghabra talk implement vaccine mandate interprovinc
15,canada be not go take lockdown covid restrictionsottawa
16,trudeau aka blackface lover hiding family call fringe minority country p
17,make cough public awkward like bro do not covid weed
18,us billionaire get trillion rich pandemic rake government subsidy tell rest u
19,great thread natural immunity covid datum
20,yeah tend avoid covid bodybuilde mma one they re interesting personallytaibbi good jewel interview incredible
21,need hold biden accountable loudlysince take office increase ice detention
22,different story indigenous people march wrong do
23,robert lamay antivaccine state trooper recently die covid praise celebrity foxs laura ingraha
24,covid narrative beyond crumble barely hold together thread point keep push al
25,sure could end covid next month leader un agency demonstrate resolve vaccinate world wit
26,global leader
27,impression gi symptom common omicron variant anybody idea
28,covid test available day tomorrow cvs peachtree road ne atlanta ga
29,amidst global pandemic amp manmade famine govt still bomb tigray every day demand
30,disagree lock lock mandate gonenomoremandatesmandatesmustgo
31,be not pandemic bruce love god
32,internalize ableism tell today fault I ve get covid twice
33,thank support critical mission save independent restaurant bar affect
34,another athlete myocarditis medium claim covid believe something else
35,bad black guy do not leave detailed pandemic playbook establish functioning
36,freedom mandate I m sick tired idiot like refer freedom vs vaccine mandate want life back trump mishandle virus country do not want worry who s sit next they re contagious
37,spotify respond joe rogan controversy release detail rule covid misinfo tbh
38,post like bad spread covid misinformation
39,since jan nsw lose life covid charge bring criminal charge premier office inform new omnicron variant vaccine would effective choose ignore thisit truly criminalbradhazzard ninemsn
40,almost people die covid yesterdaylet number sink inmost unvaxxe
41,breathe since iland struggle keep everything that s happen around album year bro chill even get covid guess still fuck pandemic nerve release merch merch like gold mine
42,darksouls bloodborne commission still really enjoy composition alternate color variant
43,chinese government force year old take mandatory covid vaccine
44,day covid rapid test come back positive nbc news
45,wow sad fact plandemic destructive many way doctor fauci msm pharmaceutical industry cdcfda hold accountable demoncratic party along biden administration escape judgement god
46,increase hunger foodinsecurity across globe feed world achieve foodsystem
47,absolutely correct dr fraudulent protocol use hospital murder attempt murder
48,mask distribution dss volunteer follow pious teaching saint dr singh ji insan malout
49,survey show texas educator feel safe school overwhelmingly support mask mandate rapid testing ht
50,none current covid measure work would take brave govt though admit covid response nothing window dressing
51,anybody ever hear vaccine need take four time year do not stop spread disease
52,small minority current covid case come unvax frustratingly current transmission prob
53,covid death month since conor tweetunite states zealand
54,vaccinate unvaccinated individual going still do caution go find restaurant space proper ventilation outdoor option minimize risk getting infect
55,trudeau aka blackface lover hiding family call fringe minority country p
56,zeds series wattpad wip amwrite zombie apocalypse pandemic series
57,tmobile release new policy remove unvaccinated employee still time
58,initial research show omicron many time transmissible well vaccination lose protection three month dose create breakthrough infection note thirdwave
59,break denmark end covid mandate effective feb break across globeit time f
60,merchant herd death oversell immunity people reinfecte immediately omicron infection ha
61,sorrento therapeutics srne announce oral main protease mpro inhibitor strongly neutralize omicron medical groupzirigoza
62,fascinating manage get print serve undermine president do not likehttpstcojcqcfbblwb
63,head say dangerous assume pandemic nearing end endpandemic pandemics omicron
64,sorry mom lose mine last year though covid
65,remotejobs stayathome remote position clinical contract manager jobsearch hiringnow
66,two week world know virus we epidemiology institute direct fauci sign contract wi
67,travel insurance plan cover covidrelate disruption help find good pandemic travel insurance heres list good travel insurance plan forbesadvisoraxaassistanceus
68,instrumental resource nurse prepare coronavirus pandemic find rapidly design course totara learn allow develop courseware rapid time
69,rcmp crooked trudeau
70,day tomorrow february setsubun ready throw bean really want see go away year demon coronavirus japaneselearne japaneseculturenihongo de
71,week controversy drive star podcaster joe rogan streaming giant spotify announce change ruleshttpstcocisrolzwyi
72,million americans can not isolate covid home here expert suggest
73,march qantas jetstar scale back domestic flying capacity percent precovid level international capacity around percentmore httpstcoacbyvlxxoj qantas airlines aviation flight
74,unless zombicron variant I m even think covid anymore
75,expert cdc nih fda liable complete suppression early outpatient treatment many readily available drug already responsible several hundred thousand live lose
76,spotify say add advisory podcast discuss amid joe rogan controversy
77,new year bring much hope joy husband unfortunately breakthrough case
78,lockdown omicron share key theme upcoming reporting seasonview full insight
79,base philippine national police datum area granular lockdown nationwide cordillera report high number via
80,work do not allow follow covid rule time here something well nothing bhekisisaresource
81,airport implement various measure prevent spread detail please
82,sorry need many etc bad flu yearget fit protect bit well people cloth mask might make feel secure jack shit
83,exactly work immunisation project ne n hear conspiracy theory polio vaccine assume illiteracy responsible doubt n long ridicule villager least they re uneducated covid anti vaxxer r nut
84,pandemic first hit people quickly realize food be not readily available grocery store michael scuse say many delawarean first time reach farm visit farmer
85,multiple delay trial jeffery morris allegedly murder poker player susie zhao look like may get front judge summerhere thing stand gt
86,oh hey know get lot oh rachel do not know say rachel perrone single mom
87,resmed continue product service growthresmed software saas product market renewable energy electricity power engineering technology manufacturing innovationfor detail please click link
88,health expert across south carolina say recent surge omicron case affect mental health many student mostly due recent school closure force many child transition virtual learning
89,gallery portugal centerleft socialist party track win vote sunday snap parliamentary election trigger political crisis block spending bill prompt president dissolve parliament
90,byebye think good stand joe rogan misinformation ill stand
91,week mja podcast available dr talks wellness industry politic pandemic freeaccess medtwitter
92,intend conduct scientific research relation cannabis covid
93,though number drug method try definitive treatment emerge
94,right every one vaxxed sibling sick covidnot
95,stay safe celebrate chinese new year love one adhere recommend guideline gong xi fa kementerian kesihatan malaysia
96,lee johnson claim vaccine lead sunderland star heart problem covid case mirror online
97,prove whole virus inactivate vaccine canada approve allay fear
98,bottom line you re spread covid disinformation you re kill people broadcast message
99,yeah keep shoot booster vaccine ineffective booster vaccine should not need booster every monthsi also covid sick day feel like flu I m vaxxe
100,russia china north korea ever lie iraq wmds incubator baby viagra etc etcpeople unironically
101,tell you all conservative nurse cop couple combo something else
102,look quality player final novak djokovic would not even make final remember sick get covid bs lie
103,see article claim covid affect people way one could predict please remember
