Unnamed: 0,full_text,sentiment_score
0,pgh health workers stage picket protest outside hospital february lead worker union doctor nurse student demand govt provide safe high efficacy effectivity vaccine via george calvelo abscbn news,0.22
1,business propagate costly ppp fraud struggle family spend tax money rescue we,0.0
2,senate parliamentarian rule democrats minimum wage provision can not include president biden c,0.0
3,many may know antiasian hate crime serious issue get bad pandemicthi,-0.33333333333333326
4,government continue operate shame,0.0
5,watch people socialise lockdown dragraceuk,0.0
6,peru,0.0
7,have not test covid least that s problem,-0.3
8,sorry hear neighbour father may victim,-0.2875
9,may good covid,0.7
10,sir back normalonly one question corona pandemic end pak vaccinate enoughour populationor rest world fool ampwe r super creation pakistan pmln pmimrankhan gnn,0.16666666666666666
11,grumpy folk claim hcw overreact display joy receive vaccineto,0.8
12,facebook group people can not smell handle covid rush via,0.0
13,year old son anxious good time return school without haircut since december,0.18333333333333332
14,every mediaaffiliate person every news article every oped try justify call covid chinese virus,0.0
15,bomb syria barely month take office amp pass coronavirus relief package perfect encapsulation,0.525
16,friend I m like babe listen babe babe survive pandemic care gain weight l,0.0
17,frame still low fire base z outbreak multiplayer need actually update game cause never get update,-0.30000000000000004
18,nice I m yet take day sleep bit hard ha I ve look wti ccl norwegian cruise line pre pandemic double another day might hop let know,0.07708333333333332
19,although bts one successful asian act contemporarily success protect comment brim,0.35000000000000003
20,here article image,0.0
21,dior paris fashion show cancel last year due,-0.0625
22,people back trump easily manipulate people fall anything fox news tell fall people will not buy corona beer fear get sick,-0.09365079365079365
23,kayleigh mcenany one year ago today see disease like coronavirus come,0.0
24,total hell psw describe working outbreak ont longterm care home ctv news publish canada news media news,0.0
25,replace word pandemic incorrect variation I ve cope panasonic,0.0
26,well do kaaptan must bring relief sri lankan muslim amp christians whose dead family member n,-0.2
27,containment asias large urban slum dharavimumbai india lesson policymaker globally mahaveer,0.07142857142857142
28,fact check,0.0
29,political correctness go to leave country destroy literally fued,-0.1
30,hello turkish high school student could study exam due pandemic different probl,0.011666666666666667
31,peru vacunacion,0.0
32,wonder mumbais covid case rise,0.0
33,continue target asian community association unacceptable stopracism,0.0
34,case I m sure come around believe even pandemic give guarantee last summe,0.25
35,ask hiw change,0.0
36,thank sri lankan leadership amp welcome sri lankan govts official notification allow burial option th,0.8
37,pandemic cruelty know bound,0.0
38,nerd immunity,0.0
39,bomb syria barely month take office amp pass coronavirus relief package perfect encapsulation,0.525
40,thank amp prime minister support vaccinequity commitment covax share vaccine,0.0
41,much nurse care grieve every single one patient continue bear burden,0.0642857142857143
42,marketer double digital,0.0
43,lockdown amp restaurant open back,0.0
44,tokyo report new case coronavirus,0.13636363636363635
45,I ve lawyer yrs amp senator would hire remove appendixof course I m remotely q,-0.1
46,another corona fck moment could another moment woman la scream moonbyulil,0.0
47,today open africa regional forum sustainable development side event greenrecovery amp naturebase solution,0.0
48,perfect storm warn official figure vastly undercounte consultant vacancy many plan retire early postpandemic,0.4
49,lrt many hope well come back pandemic solo album nng amp even bet,0.25
50,matthias matuschik be not edgy say hate bts amp liken covid know there s epidemic hatred,-0.325
51,exactly,0.25
52,biden drop bomb syria lock kid cage fight medicare pandemic lie abo,0.0
53,yes actually biden working pass trillion dollar covid relief package go,0.0
54,write wall wuhan wakeup call must stop commercial trade wild animal prevent,0.05
55,bavarian radio station find name trend worldwide hashtag presenter upset fan kp,0.0
56,look healthcare workers philippine general hospital stage protest demand free safe effective cov,0.3875
57,change landlordtenant relationship cre office warehouse,0.0
58,six week ago people we get one covid vaccine shottoday number stand nearly,0.1
59,bavarian radio station find name trend worldwide hashtag presenter upset fan kp,0.0
60,snack grow pandemic people look comfort cpg snack brand lay doritos pepsico invest ecommerce platform online ordering strategy,0.0
61,go file case since sister subject force cremation mainly fake baseless ground,-0.3333333333333333
62,girl nothing day long god be not damn pandemic we d live different life,0.028787878787878782
