,created_at,full_text,sentiment_score
0,2020-12-14 17:59:54+00:00,"LaPorte County officials recently approved a COVID-19 hazard pay stipend for some employees. That's the topic du jour on today's SOUND OFF. 

Listen from 12:15-1 PM on 96.7 the Eagle or","[{'label': 'Neutral', 'score': 0.7345900535583496}]"
1,2020-12-14 17:59:54+00:00,Sweden's neighbours offer them emergency help as its hospitals fill up with coronavirus patients #SmartNews,"[{'label': 'Neutral', 'score': 0.8439053297042847}]"
2,2020-12-14 17:59:54+00:00,"RT ""It's easy to become numb to the unrelenting deaths -- the scale of our losses to the coronavirus is overwhelming. But let...","[{'label': 'Negative', 'score': 0.8162156939506531}]"
3,2020-12-14 17:59:54+00:00,"RT Tennessee Rep. David Byrd, R-Waynesboro, has been in the ICU in with COVID for more than a week now and again says the...","[{'label': 'Neutral', 'score': 0.6375432014465332}]"
4,2020-12-14 17:59:54+00:00,"RT LEADERSHIP MATTERS:

 Florida COVID response, led by 

 Taiwan COVID response, led by Vice-President Dr...","[{'label': 'Neutral', 'score': 0.9432162642478943}]"
5,2020-12-14 17:59:55+00:00,Brand brand,"[{'label': 'Neutral', 'score': 0.7743417024612427}]"
6,2020-12-14 17:59:55+00:00,Exactly,"[{'label': 'Neutral', 'score': 0.4845374524593353}]"
7,2020-12-14 17:59:55+00:00,"RT While we are distracted by the pandemic and politics, the people who made the pandemic and politics worse are doing more dam...","[{'label': 'Negative', 'score': 0.7610165476799011}]"
8,2020-12-14 17:59:55+00:00,"Recently, our Lower/Elementary School students, as well as members of the Middle School SCO, decided to spread some Christmas cheer by hand making Christmas cards for hospital &amp; Covid ICU patients!#kindnessmatters #communityoutreach #GDTBAV","[{'label': 'Positive', 'score': 0.9040674567222595}]"
9,2020-12-14 17:59:55+00:00,RT WHO says authorities investigating new COVID-19 variant in England,"[{'label': 'Neutral', 'score': 0.8367302417755127}]"
10,2020-12-14 17:59:55+00:00,RT They called it a hoax all fucking year killing almost 300k and counting and now they're first in line.,"[{'label': 'Negative', 'score': 0.9549779891967773}]"
11,2020-12-14 17:59:55+00:00,Just tragic! But let the WH staffers be among the first to get the vaccine?...we are in the twilight zone! Praying for those in the Joaquin Valley.,"[{'label': 'Negative', 'score': 0.8958972096443176}]"
12,2020-12-14 17:59:55+00:00,"RT This is bullshit! So many people have tried to abide by guidelines: wear masks, keep our distance a...","[{'label': 'Negative', 'score': 0.7933546304702759}]"
13,2020-12-14 17:59:55+00:00,"RT So thankful I was able to honor the real life heroes- the front line workers battling Covid19. 
Thank you for invi...","[{'label': 'Positive', 'score': 0.9739317893981934}]"
14,2020-12-14 17:59:55+00:00,"Lets do this damn thing 
https://t.co/X7gVKcAtnj","[{'label': 'Neutral', 'score': 0.5588729381561279}]"
15,2020-12-14 17:59:55+00:00,"RT Sandra Lindsay, an ICU nurse in New York, is among the first in the US to receive a Covid-19 vaccination.

 Mark Lennihan...","[{'label': 'Neutral', 'score': 0.805030345916748}]"
16,2020-12-14 17:59:55+00:00,I guess Frank failed history class,"[{'label': 'Negative', 'score': 0.6691768765449524}]"
17,2020-12-14 17:59:55+00:00,"RT My abusive former partner nearly choked me to death. The stigma led me to not report it. I regret I didn't.

The pandemic has...","[{'label': 'Negative', 'score': 0.9384600520133972}]"
18,2020-12-14 17:59:55+00:00,"Freud whispering into my ear: ""The Brazilian anti waxers""
(return of the thigh brow)","[{'label': 'Neutral', 'score': 0.821539044380188}]"
19,2020-12-14 17:59:55+00:00,"If you avatar represents you, maybe get a little cardio going bud. Out of shape, obese or high blood pressure isn't good for COVId. Good luck","[{'label': 'Neutral', 'score': 0.48958665132522583}]"
20,2020-12-14 17:59:55+00:00,"One Cardinal and Four Bishops Teach Clearly that Catholics Must Refuse Vaccines Tainted by AbortionOn December 12, 2020, one Cardinal and four Bishops released a statement to teach Catholics that they should refuse COVID vaccines derived from the cells of aborted children.","[{'label': 'Negative', 'score': 0.5780029892921448}]"
21,2020-12-14 17:59:55+00:00,"RT  London joins tier 3
 ""New variant"" of coronavirus identified
 An artist's NHS tribute

Here are five things you need to...","[{'label': 'Neutral', 'score': 0.8775708675384521}]"
22,2020-12-14 17:59:55+00:00,"RT It's a good day, America. The first doses of the #COVID19 vaccine are being administered and the #ElectoralCollege will...","[{'label': 'Positive', 'score': 0.9281601905822754}]"
23,2020-12-14 17:59:55+00:00,But the judge stated it is up to an individual if they are on permanent lockdown. There is no lying.,"[{'label': 'Neutral', 'score': 0.7463243007659912}]"
24,2020-12-14 17:59:55+00:00,"RT Pennsylvania Sheriff Switches Party Loyalty To GOP Over Democratic Lockdowns, 'Socialist Agenda'","[{'label': 'Neutral', 'score': 0.5661581754684448}]"
