,created_at,full_text,sentiment_score
0,2021-02-21 06:59:55+00:00,"RT Birthday Gift for Mew! 

#1 Certificate from coral donation at Sisters' Island, Singapore! Due to COVID, the whole process...","{'neg': 0.0, 'neu': 0.845, 'pos': 0.155, 'compound': 0.5399}"
1,2021-02-21 06:59:55+00:00,RT Looking for something to do during the #covid19 #pandemic #lockdown? Have a read of my #blogpost: How To Make Quicksand Wi...,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2,2021-02-21 06:59:55+00:00,Why #Australians are so unlucky?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
3,2021-02-21 06:59:55+00:00,"while the COVID uncertainty affecting fans in the stands still looms but they have an incredible slate - Chiefs, Raiders and Broncos while also playing Giants, Cowboys, Steelers, Browns and Patriots","{'neg': 0.09, 'neu': 0.843, 'pos': 0.066, 'compound': 0.0516}"
4,2021-02-21 06:59:55+00:00,RT The situation is Texas is absolutely abominable. But I want you to also know that this Native community in Alaska has not had...,"{'neg': 0.0, 'neu': 0.941, 'pos': 0.059, 'compound': 0.1154}"
5,2021-02-21 06:59:55+00:00,RT It's a fake news ! Hope will be marked as one...,"{'neg': 0.208, 'neu': 0.614, 'pos': 0.178, 'compound': -0.126}"
6,2021-02-21 06:59:55+00:00,RT The situation is Texas is absolutely abominable. But I want you to also know that this Native community in Alaska has not had...,"{'neg': 0.0, 'neu': 0.941, 'pos': 0.059, 'compound': 0.1154}"
7,2021-02-21 06:59:55+00:00,"RT Nearly 100,000 people in the United States died from the Chinese coronavirus during President Joe Biden's first month in...","{'neg': 0.148, 'neu': 0.738, 'pos': 0.115, 'compound': -0.2023}"
8,2021-02-21 06:59:55+00:00,"Hong Kong prepared to waive restrictions to host Asian tournaments: Report 

READ: #Covid19 #HongKong","{'neg': 0.0, 'neu': 0.872, 'pos': 0.128, 'compound': 0.2263}"
9,2021-02-21 06:59:55+00:00,RT Why does Morrison wear a mask with the flag on it? Is he worried we don't know which country he's prime minister of?,"{'neg': 0.1, 'neu': 0.9, 'pos': 0.0, 'compound': -0.3736}"
10,2021-02-21 06:59:56+00:00,RT The situation is Texas is absolutely abominable. But I want you to also know that this Native community in Alaska has not had...,"{'neg': 0.0, 'neu': 0.941, 'pos': 0.059, 'compound': 0.1154}"
11,2021-02-21 06:59:56+00:00,Mumbai: Four Dubai returnees booked for flouting Covid-19 norms,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
12,2021-02-21 06:59:56+00:00,We're not doing much for our collective Karma are we...,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
13,2021-02-21 06:59:56+00:00,"As COVID-19 cases are on rise in Maharashtra, lockdown, curfew and curbs are being imposed | India News","{'neg': 0.071, 'neu': 0.929, 'pos': 0.0, 'compound': -0.0772}"
14,2021-02-21 06:59:56+00:00,"In Delhi, One Rape Reported Every 5 Hours, 10 Minutes in Pandemic-hit 2020","{'neg': 0.281, 'neu': 0.719, 'pos': 0.0, 'compound': -0.6908}"
15,2021-02-21 06:59:57+00:00,Donated umbilical cords show 'exciting' results in treating Covid patients | Granada | ITV News,"{'neg': 0.0, 'neu': 0.814, 'pos': 0.186, 'compound': 0.4939}"
16,2021-02-21 06:59:57+00:00,"RT sis is tired of lockdown. sis wants a cocktail. sis wants a holiday. sis wants a cuddle. sis is me, i am sis.","{'neg': 0.105, 'neu': 0.797, 'pos': 0.098, 'compound': -0.0516}"
17,2021-02-21 06:59:57+00:00,RT .@WHO has not reviewed or certified the effectiveness of any traditional medicine for the treatment #COVID19.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
18,2021-02-21 06:59:57+00:00,"RT Virtually every aspect of the COVID vaccine, from the lipid nanoparticles to the mRNA technology, was developed in acade...","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
19,2021-02-21 06:59:57+00:00,Apex Legends Ranked trying to stay in gold or better,"{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.4404}"
20,2021-02-21 06:59:57+00:00,"Since the #Injection hailed as ""Covid-19 vaccine "" doesn't fulfil this basic mandatory requirement, it's not a #Vaccine . 

It's a genetic programming agent. Bill Gates is the criminal behind this.","{'neg': 0.098, 'neu': 0.809, 'pos': 0.092, 'compound': -0.296}"
21,2021-02-21 06:59:57+00:00,RT The situation is Texas is absolutely abominable. But I want you to also know that this Native community in Alaska has not had...,"{'neg': 0.0, 'neu': 0.941, 'pos': 0.059, 'compound': 0.1154}"
22,2021-02-21 06:59:57+00:00,"Coronavirus Disease 2019 (COVID-19) situation in Thailand as of 21 February 2021, 11.30 Hrs.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
23,2021-02-21 06:59:57+00:00,RT 2021: Reset or Not? #COVID19 #medicine via,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
24,2021-02-21 06:59:57+00:00,Can we please get in the basketball games?  If it's not COVID it's another thing. We wanna support the team!,"{'neg': 0.0, 'neu': 0.773, 'pos': 0.227, 'compound': 0.6476}"
25,2021-02-21 06:59:57+00:00,RT Watch as the most senior public health officials in Canada struggle to justify their doomsday COVID spread models.,"{'neg': 0.264, 'neu': 0.736, 'pos': 0.0, 'compound': -0.7269}"
26,2021-02-21 06:59:58+00:00,RT It's such a shame that Rajat Sharma has not deleted his tweet on fake news claiming that Coronil has gained acceptance fro...,"{'neg': 0.201, 'neu': 0.617, 'pos': 0.182, 'compound': -0.1531}"
27,2021-02-21 06:59:58+00:00,RT The situation is Texas is absolutely abominable. But I want you to also know that this Native community in Alaska has not had...,"{'neg': 0.0, 'neu': 0.941, 'pos': 0.059, 'compound': 0.1154}"
28,2021-02-21 06:59:58+00:00,RT .@WHO has not reviewed or certified the effectiveness of any traditional medicine for the treatment #COVID19.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
29,2021-02-21 06:59:58+00:00,"RT Patanjali's ""Coronil"" gets Indian Govt's Ayush Ministry's Certificate of Pharmaceutical Product based on WHO norms. It ha...","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
30,2021-02-21 06:59:58+00:00,"RT Health UPDATE: My #COVID symptoms got worse (even though I tested neg.). Thursday I ran a fever of 101.5, but no fever s...","{'neg': 0.181, 'neu': 0.819, 'pos': 0.0, 'compound': -0.5927}"
31,2021-02-21 06:59:59+00:00,"RT Sweden  strategy success??? Compared to its Scandinavian neighbors...

...No! Sweden has a 12% excess mortality above pas...","{'neg': 0.0, 'neu': 0.79, 'pos': 0.21, 'compound': 0.6738}"
32,2021-02-21 06:59:59+00:00,"RT It should also be pointed out that Ted Cruz was IN MEXICO and should, per CDC guidelines, be quarantining in his home.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
33,2021-02-21 06:59:59+00:00,"Instances of the flu were incredibly low this year. If you have symptoms of any kind, it's safer to act like you have COVID until proven otherwise.","{'neg': 0.14, 'neu': 0.616, 'pos': 0.244, 'compound': 0.5729}"
34,2021-02-21 06:59:59+00:00,"Didn't DeSantis send a goon squad to try and silence a critic who called him out for hiding how many Covid cases Florida had?

That doesn't sound like preserving freedom, that sounds like something out of a dictatorship.","{'neg': 0.139, 'neu': 0.716, 'pos': 0.145, 'compound': 0.316}"
35,2021-02-21 06:59:59+00:00,"RT No Lockdown in #Pune.
In the Emergency COVID review meeting chaired by Dy. CM ji I urged the administratio...","{'neg': 0.211, 'neu': 0.789, 'pos': 0.0, 'compound': -0.5859}"
36,2021-02-21 06:59:59+00:00,RT Touchdown. The first doses of COVID-19 vaccines have just landed at Adelaide Airport. They're bound for the RAH and Flin...,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
37,2021-02-21 06:59:59+00:00,"Forget about Corona, nothing scares me like typing God with a small letter ""g""","{'neg': 0.221, 'neu': 0.551, 'pos': 0.228, 'compound': 0.0325}"
38,2021-02-21 06:59:59+00:00,RT .@WHO has not reviewed or certified the effectiveness of any traditional medicine for the treatment #COVID19.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
39,2021-02-21 06:59:59+00:00,"RT 497,000+ Americans have died COVID, one of them being my dad. 

In New Zeland 26 people have died. 

Just today in the U...","{'neg': 0.247, 'neu': 0.753, 'pos': 0.0, 'compound': -0.802}"
